FamID,MomID,DadID,Fam ord,Pop,Pop ord,Year,Group,Group ord,Reg,Reg ord,Temp,Temp ord,Temp rep,Tray set,Tray,Rep,Cell,TagID,Planting date,Percival,Leaf number going in,Leaf number coming out (green),Leaf number coming out (brown),Notes
GH_1107,WAW8,WAW60,137,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,A1,1107.01,2/25/19,I-31,2,12,,
GH_0209,SS3433,SS3424,84,C1,3,2010,C1 2010,5,C,2,35.2,5,1,1,3,0.01,A2,209.01,2/25/19,I-31,6,26,,
GH_0969,CRA37,CRA126,99,C1,3,2017,C1 2017,6,C,2,35.2,5,1,1,3,0.01,A3,969.01,2/25/19,I-31,6,30,,
GH_0165,SS3474,SS3397,78,C1,3,2010,C1 2010,5,C,2,35.2,5,1,1,3,0.01,A4,165.01,2/25/19,I-31,4,28,,
GH_1101,WAW69,WAW36,135,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,A5,1101.01,2/25/19,I-31,8,49,1,
GH_1080,WAW4,WAW66,129,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,A6,1080.01,2/25/19,I-31,6,16,,
GH_0293,SS3546,SS3555,122,C2,4,2010,C2 2010,7,C,2,35.2,5,1,1,3,0.01,A7,293.01,2/25/19,I-31,6,30,,
GH_0173,SS3412,SS3425,80,C1,3,2010,C1 2010,5,C,2,35.2,5,1,1,3,0.01,A8,173.01,2/25/19,I-31,6,26,,
GH_0286,SS3584,SS3577,118,C2,4,2010,C2 2010,7,C,2,35.2,5,1,1,3,0.01,A9,286.01,2/25/19,I-31,6,28,,
GH_0936,CRA43,CRA15,95,C1,3,2017,C1 2017,6,C,2,35.2,5,1,1,3,0.01,A10,936.01,2/25/19,I-31,2,6,,
GH_1082,WAW9,WAW15,130,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,A11,1082.01,2/25/19,I-31,8,53,1,
GH_1089,WAW65,WAW73,131,C2,4,2017,C2 2017,8,C,2,35.2,5,1,1,3,0.01,A12,1089.01,2/25/19,I-31,0,4,,
